Sample, accel, ADC_0, ADC_1, ADC_2, Interval,,time, acceleration
182,1140.2055,737.7192,596.5217,632.4561,5.2711,,953.7653,1140.2055
183,1140.6923,737.7192,596.5217,633.3333,5.2722,,959.0375,1140.6923
184,1140.0936,736.8421,597.3912,632.4561,5.2857,,964.3232,1140.0936
185,1137.6425,735.9649,595.6521,630.7017,5.2689,,969.5921,1137.6425
186,1137.4082,738.5964,595.6521,627.1929,5.276,,974.8681,1137.4082
187,1137.5013,735.0877,597.3912,629.8245,5.2846,,980.1527,1137.5013
188,1137.5832,735.9649,597.3912,628.9473,5.2803,,985.433,1137.5832
189,1134.5649,734.2105,595.6521,627.1929,5.2744,,990.7074,1134.5649
190,1137.9851,738.5964,593.0434,630.7017,5.2711,,995.9785,1137.9851
191,1136.7329,735.9649,593.913,630.7017,5.2825,,1001.261,1136.7329
192,1136.413,737.7192,593.913,628.0701,5.2879,,1006.5489,1136.413
193,1136.2788,735.9649,593.0434,630.7017,5.2706,,1011.8195,1136.2788
194,1135.3383,735.9649,592.1738,629.8245,5.2804,,1017.0999,1135.3383
195,1135.2239,735.0877,593.0434,629.8245,5.2845,,1022.3844,1135.2239
196,1138.0981,735.9649,596.5217,630.7017,5.2657,,1027.6501,1138.0981
197,1140.2569,738.5964,597.3912,630.7017,5.2706,,1032.9207,1140.2569
198,1138.7783,737.7192,595.6521,630.7017,5.2825,,1038.2032,1138.7783
199,1137.1275,740.3508,594.7825,625.4385,5.2879,,1043.4911,1137.1275
200,1139.8325,738.5964,595.6521,631.5789,5.2705,,1048.7616,1139.8325
201,1137.7553,736.8421,594.7825,630.7017,5.2755,,1054.0371,1137.7553
202,1136.7329,735.9649,593.913,630.7017,5.2867,,1059.3238,1136.7329
203,1139.0595,735.0877,594.7825,635.0877,5.2766,,1064.6004,1139.0595
204,1137.4675,738.5964,593.913,628.9473,5.2624,,1069.8628,1137.4675
205,1135.257,735.0877,592.1738,630.7017,5.2879,,1075.1507,1135.257
206,1142.5522,745.614,593.0434,630.7017,5.2787,,1080.4294,1142.5522
207,1137.1564,735.9649,595.6521,629.8245,5.2695,,1085.6989,1137.1564
208,1138.3078,732.4561,595.6521,635.9649,5.2744,,1090.9733,1138.3078
209,1133.4304,732.4561,595.6521,627.1929,5.2867,,1096.26,1133.4304
210,1135.5357,734.2105,595.6521,628.9473,5.2841,,1101.5441,1135.5357
211,1136.7329,735.9649,593.913,630.7017,5.2739,,1106.818,1136.7329
212,1135.4541,736.8421,591.3043,629.8245,5.2884,,1112.1064,1135.4541
213,1138.2927,737.7192,595.6521,629.8245,5.2863,,1117.3927,1138.2927
214,1137.7243,736.8421,595.6521,629.8245,5.2754,,1122.6681,1137.7243
215,1138.8923,738.5964,594.7825,630.7017,5.2771,,1127.9452,1138.8923
216,1141.5086,741.228,596.5217,630.7017,5.2873,,1133.2325,1141.5086
217,1141.135,736.8421,595.6521,635.9649,5.2837,,1138.5162,1141.135
218,1138.3237,737.7192,594.7825,630.7017,5.2737,,1143.7899,1138.3237
219,1134.1384,734.2105,593.913,628.0701,5.2739,,1149.0638,1134.1384
220,1137.1875,735.9649,594.7825,630.7017,5.2803,,1154.3441,1137.1875
221,1132.6473,732.4561,590.4347,630.7017,5.2744,,1159.6185,1132.6473
222,1138.0683,735.9649,597.3912,629.8245,5.2754,,1164.8939,1138.0683
223,1139.5915,735.9649,595.6521,634.2105,5.283,,1170.1769,1139.5915
224,1139.1245,740.3508,593.0434,630.7017,5.2864,,1175.4633,1139.1245
225,1138.6655,736.8421,596.5217,630.7017,5.2678,,1180.7311,1138.6655
226,1137.4495,737.7192,592.1738,631.5789,5.2743,,1186.0054,1137.4495
227,1134.77,735.0877,592.1738,629.8245,5.2967,,1191.3021,1134.77
228,1138.3237,737.7192,594.7825,630.7017,5.2694,,1196.5715,1138.3237
229,1140.6562,742.1052,595.6521,628.9473,5.2738,,1201.8453,1140.6562
230,1139.6889,737.7192,597.3912,630.7017,5.2852,,1207.1305,1139.6889
231,1137.9708,734.2105,595.6521,633.3333,5.2874,,1212.4179,1137.9708
232,1136.7541,736.8421,595.6521,628.0701,5.2743,,1217.6922,1136.7541
233,1142.5357,740.3508,593.0434,636.8421,5.2722,,1222.9644,1142.5357
234,1140.3405,739.4736,597.3912,629.8245,5.2814,,1228.2458,1140.3405
235,1141.6673,737.7192,596.5217,635.0877,5.2847,,1233.5305,1141.6673
236,1141.5555,736.8421,597.3912,635.0877,5.2706,,1238.8011,1141.5555
237,1131.5682,735.0877,586.9565,628.9473,5.2699,,1244.071,1131.5682
238,1139.5737,741.228,596.5217,627.1929,5.2847,,1249.3557,1139.5737
239,1143.7879,748.2456,593.0434,629.8245,5.2711,,1254.6268,1143.7879
240,1135.455,733.3333,595.6521,629.8245,5.2694,,1259.8962,1135.455
241,1135.8322,732.4561,596.5217,630.7017,5.2852,,1265.1814,1135.8322
242,1137.5837,739.4736,593.0434,628.9473,5.2868,,1270.4682,1137.5837
243,1139.8135,742.1052,592.1738,630.7017,5.2694,,1275.7376,1139.8135
244,1139.1245,740.3508,593.0434,630.7017,5.2706,,1281.0082,1139.1245
245,1135.7446,735.0877,592.1738,631.5789,5.2906,,1286.2988,1135.7446
246,1135.1712,733.3333,590.4347,634.2105,5.2699,,1291.5687,1135.1712
247,1140.2056,740.3508,590.4347,635.0877,5.27,,1296.8387,1140.2056
248,1135.6063,737.7192,589.5652,630.7017,5.2792,,1302.1179,1135.6063
249,1133.7806,738.5964,588.6956,627.1929,5.2875,,1307.4054,1133.7806
250,1135.359,736.8421,593.913,627.1929,5.2737,,1312.6791,1135.359
251,1134.0532,734.2105,596.5217,625.4385,5.2738,,1317.9529,1134.0532
252,1136.5877,735.9649,598.2608,626.3157,5.2797,,1323.2326,1136.5877
253,1137.9873,735.0877,597.3912,630.7017,5.2846,,1328.5172,1137.9873
254,1141.0584,737.7192,600,630.7017,5.2711,,1333.7883,1141.0584
255,1129.1993,728.9473,596.5217,622.807,5.2532,,1339.0415,1129.1993
256,1148.8886,752.6315,598.2608,628.9473,5.2847,,1344.3262,1148.8886
257,1149.3978,752.6315,597.3912,630.7017,5.2748,,1349.601,1149.3978
258,1142.7452,742.9824,593.913,633.3333,5.2727,,1354.8737,1142.7452
259,1137.1875,735.9649,594.7825,630.7017,5.2874,,1360.1611,1137.1875
260,1137.6947,736.8421,596.5217,628.9473,5.2857,,1365.4468,1137.6947
261,1129.3618,728.0701,589.5652,630.7017,5.2765,,1370.7233,1129.3618
262,1139.4305,739.4736,595.6521,629.8245,5.2684,,1375.9917,1139.4305
263,1133.0345,732.4561,593.0434,628.9473,5.2987,,1381.2904,1133.0345
264,1137.8696,737.7192,593.913,630.7017,5.2651,,1386.5555,1137.8696
